Вопрос,Ответ модели,Время ответа,Оценка
Как настраивать chatGPT?,"ChatGPT can be configured in several ways. To start, you need to create an account on the platform and log in. Once logged in, you will see a menu bar at the top of the page with options for configuring your chatbot. You can customize the bot'<s> Hinweis: ChatGPT is a powerful tool that can be used for many different purposes, such as writing headlines for contextual and targeted advertising, creating email campaigns and social media posts, imitating the writing style of a specific person, and answering customer inquiries on chat.",295.3015022277832,-1
Какие варианты рассрочки есть на тариф Основной?,"Ответ клиента:
Тариф Основной предлагает возможность рассрочки на 3, 6 и 12 месяцев.",80.32160663604736,1
Какие курсы по chatGPT есть в УИИ?,"У нас есть курсы по ChatGPT. В них мы обучаем студентов использованию ChatGPT в маркетинге, контекстной рекламе, написании рассылок и постов в социальных сетях, а также имитировать манеру письма конкретного человека.",88.96804475784302,1
"Какие темы включает в себя курс ""AI Директор""?","Какие темы включает в себя курс ""AI Директор""? В курсе ""AI Директор"" есть темы, такие как ""Введение в  AI"", ""Зачем нужны датасеты?"", ""Какие проекты создаются в AI"". Также в курсе есть вебинары по темам: ""Поиск заказов на AI проекты"", ""Участие и призовые места в хакатонах в свободное от работы время"" и ""Применение AI в своей компании, карьера руководителя AI отдела"".",149.37914109230042,1
Какой документ будет по окончанию образования?,"Последний документ, который Вы получите после окончания обучения - это ""Учебное руководство по AI"" (в оригинале ""Учебник по искусственному интеллекту""). В этом учебнике собраны все основные знания и навыки, необходимые для работы в области AI. Вы сможете изучить теорию нейронных сетей, алгоритмы машинного обучения, методы анализа данных, а также применять эти знания в практических задачах. Этот учебник станет вашим основным инструментом для дальнейшего развития в области AI.",141.76947116851807,-1
Курс AI директор сколько стоит?,Курс AI директор стоит [название курса] рублей.,88.468820810318,2
"Можно ли купить стажировки, если я не являюсь студентом УИИ?","Конечно, можно купить стажировки даже если вы не являетесь студентом УИИ. Мы предлагаем различные курсы по AI, которые могут быть полезны для любого специалиста в этой области. Например, мы предоставляем курс ""Мобильные приложения для компаний или для сотрудников"", который поможет вам создать мобильное приложение для своего бизнеса. Также у нас есть курсы по сегментации изображений людей и распознаванию паспортов, снилс и инн для кадровой службы крупной IT компании. Вы можете выбрать тот курс, который наиболее подходит вам и купить его на сайте нашего университета.",147.74353575706482,-1
Можно проходить обучение с телефона?,"Да, мы предлагаем обучение с помощью телефона на нашем сайте. Вы можете зарегистрироваться и приобрести курс в любое время и из любой точки мира. Мы также предоставляем возможность проходить онлайн-курсы, которые можно пройти с помощью телефона. Если у вас есть какие-либо вопросы по нашим курсам, я готов помочь вам разобраться в них.",121.51848340034485,0
На каком языке проходит обучение?,Обучение проводится на английском языке.,56.54472899436951,1
Несовершеннолетний ребенок может проходить обучение?,"Интересно, что несовершеннолетний ребенок может проходить обучение? У нас есть курсы для детей, но они предназначены для подростков и взрослых. В любом случае, важно помнить, что образование - это важный инструмент в жизни каждого человека, независимо от возраста. Если ребенок хочет учиться, то мы можем помочь ему найти подходящий курс для его возрастной категории.",144.0720465183258,1
